Company_Name,Year,Revenue_Increase_Rate,Operating_Income(added)_Increase_Rate,Net_Income(added)_Increase_Rate,Revenue_Profit_Status,Operating_Income(added)_Profit_Status,Net_Income(added)_Profit_Status,Debt_Equity_Ratio,ROA,ROE,EPS,PER,Current_Stock,Future_Stock
삼성엔지니어링,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,1900.0,12.05,"{'Low': 22600, 'High': 23200, 'Close': 22900}","{'Low': 22250, 'High': 23350, 'Close': 22250}"
삼성엔지니어링,2022,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,3392.0,6.56,"{'Low': 22250, 'High': 23350, 'Close': 22250}",0
엔씨소프트,2017,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,20756.0,21.56,"{'Low': 444500, 'High': 452000, 'Close': 447500}","{'Low': 464000, 'High': 476000, 'Close': 466500}"
엔씨소프트,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,19831.0,23.52,"{'Low': 464000, 'High': 476000, 'Close': 466500}","{'Low': 538000, 'High': 545000, 'Close': 541000}"
엔씨소프트,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,17387.0,31.12,"{'Low': 538000, 'High': 545000, 'Close': 541000}","{'Low': 911000, 'High': 934000, 'Close': 931000}"
엔씨소프트,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,28504.0,32.66,"{'Low': 911000, 'High': 934000, 'Close': 931000}","{'Low': 643000, 'High': 660000, 'Close': 643000}"
엔씨소프트,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,19318.0,33.29,"{'Low': 643000, 'High': 660000, 'Close': 643000}","{'Low': 443000, 'High': 464500, 'Close': 448000}"
엔씨소프트,2022,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,21456.0,20.88,"{'Low': 443000, 'High': 464500, 'Close': 448000}",0
코스모신소재,2017,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,526.0,21.03,"{'Low': 10773, 'High': 11346, 'Close': 11060}","{'Low': 15059, 'High': 15730, 'Close': 15507}"
코스모신소재,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,515.0,30.11,"{'Low': 15059, 'High': 15730, 'Close': 15507}","{'Low': 8415, 'High': 8919, 'Close': 8791}"
코스모신소재,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,L_Turned,L_Turned,21.54,7.1,8.63,-80.0,-109.89,"{'Low': 8415, 'High': 8919, 'Close': 8791}","{'Low': 18916, 'High': 20348, 'Close': 19410}"
코스모신소재,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Turned,P_Turned,25.28,6.8,8.52,401.0,48.4,"{'Low': 18916, 'High': 20348, 'Close': 19410}","{'Low': 44698, 'High': 45834, 'Close': 45588}"
코스모신소재,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,604.0,75.48,"{'Low': 44698, 'High': 45834, 'Close': 45588}","{'Low': 51169, 'High': 53144, 'Close': 51169}"
코스모신소재,2022,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,912.0,56.11,"{'Low': 51169, 'High': 53144, 'Close': 51169}",0
GS,2017,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,10416.0,5.97,"{'Low': 61300, 'High': 62200, 'Close': 62200}","{'Low': 50100, 'High': 51800, 'Close': 51600}"
GS,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,9539.0,5.41,"{'Low': 50100, 'High': 51800, 'Close': 51600}","{'Low': 51200, 'High': 52500, 'Close': 51600}"
GS,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,5745.0,8.98,"{'Low': 51200, 'High': 52500, 'Close': 51600}","{'Low': 37150, 'High': 37800, 'Close': 37550}"
